,AnyGrade,,AnyGrade,Grades
"yTEAE,n(%)",141(98.6),84(58.7),149(100),82(55.0)
ASTincreased,86(60.1),9(6.3),88(59.1),8(5.4)
BloodCPKincreased,86(60.1),6(4.2),90(60.4),16(10.7)
ALTincreased,72(50.3),12(8.4),88(59.1),12(8.1)
Bloodcholesterolincreased,55(38.5),1(0.7),18(12.1),0
Bloodtriglyceridesincreased,52(36.4),6(4.2),27(18.1),1(0.7)
Diarrhea,43(30.1),1(0.7),57(38.3),1(0.7)
Blooduricacidincreased,38(26.6),3(2.1),24(16.1),1(0.7)
BloodLDHincreased,38(26.6),0,34(22.8),0
Bloodcreatinineincreased,36(25.2),0,45(30.2),0
Rash,35(24.5),5(3.5),19(12.8),0
GammaGTincreased,34(23.8),4(2.8),41(27.5),7(4.7)
Upperrespiratorytractinfection,34(23.8),0,23(15.4),1(0.7)
Nausea,32(22.4),0,47(31.5),2(1.3)
Hypertension,32(22.4),17(11.9),5(3.4),2(1.3)
Anemia,25(17.5),2(1.4),30(20.1),2(1.3)
Hepaticfunctionabnormal,24(16.8),13(9.1),10(6.7),5(3.4)
Vomiting,23(16.1),0,59(39.6),3(2.0)
Constipation,18(12.6),0,47(31.5),0
Sinusbradycardia,17(11.9),0,56(37.6),2(1.3)
Bloodalbumindecreased,15(10.5),0,51(34.2),2(1.3)
Hyperlipidemia,15(10.5),3(2.1),1(0.7),0
WBCdecreased,11(7.7),1(0.7),53(35.6),6(4.0)
ANCdecreased,10(7.0),2(1.4),66(44.3),21(14.1)
Hypocalcemia,9(6.3),0,33(22.1),1(0.7)
Peripheraledema,1(0.7),0,28(18.8),0
"yTRAE,n(%)",141(98.6),74(51.7),148(99.3),74(49.7)
ASTincreased,86(60.1),9(6.3),88(59.1),8(5.4)
BloodCPKincreased,83(58.0),6(4.2),89(59.7),16(10.7)
ALTincreased,72(50.3),12(8.4),88(59.1),12(8.1)
Bloodcholesterolincreased,51(35.7),1(0.7),13(8.7),0
Bloodtriglyceridesincreased,48(33.6),6(4.2),21(14.1),1(0.7)
Diarrhea,37(25.9),1(0.7),48(32.2),1(0.7)
BloodLDHincreased,37(25.9),0,32(21.5),0
GammaGTincreased,34(23.8),4(2.8),39(26.2),7(4.7)
Bloodcreatinineincreased,34(23.8),0,44(29.5),0
Rash,33(23.1),5(3.5),18(12.1),0
Blooduricacidincreased,33(23.1),3(2.1),22(14.8),1(0.7)
Nausea,27(18.9),0,47(31.5),2(1.3)
Hypertension,26(18.2),13(9.1),1(0.7),0
Hepaticfunctionabnormal,24(16.8),13(9.1),10(6.7),5(3.4)
Sinusbradycardia,17(11.9),0,53(35.6),2(1.3)
Vomiting,15(10.5),0,56(37.6),3(2.0)
Bloodalbumindecreased,11(7.7),0,27(18.1),0
WBCdecreased,10(7.0),1(0.7),52(34.9),6(4.0)
Constipation,10(7.0),0,41(27.5),0
ANCdecreased,9(6.3),2(1.4),65(43.6),21(14.1)
Hypocalcemia,6(4.2),0,22(14.8),0
Peripheraledema,0,0,21(14.1),0
